sentences,attribute
挂钩标的：【002506.SH】,1
名义本金：【人民币1320万】,4
期限：【3个月】,2
期权结构：【8080call】 ,3
智飞生物,1
80-103,3
12M,2
汇川技术,1
75-103%,3
12M,2
雪球结构,0
20%保证金,5
中证500,1
名义本金365万,4
保底雪球,0
80/100,3
24M,2
票息12.5%,6
国中免,1
6M ,2
85/103,3
保底雪球,0
保证金率15%,5
票息32%,6
名义本金400万,4
保证金60万,5
中证500,1
12M,2
90/100,3
保底雪球,0
保证金率10%,5
票息15.2%,6
名义本金400万,4
保证金40万,5
中证500,1
80/100,3
24M,2
名义本金300W,4
沪深300,1
80/100,3
24M,2
名义本金325W,4
沪深300,1
85/100,3
12M,2
名义本金500W,4
标的名称：军工ETF,1
结构：不追保雪球,0
期限：12M,2
敲出价：100%,3
敲入价：85%,3
保证金：15%,5
名义本金：800万,4
票息：12.4%,6
名称：中国中免,1
标的代码：601888,1
名义本金：1000万元,4
期权类型：雪球，每月观察,0
敲入价格：70%,3
敲出价格：110%,3
票息：年化32%,6
期初保证金：30%,5
期限：12个月 ,2
13.50%,6
11.30%,6
13.10%,6
中证500,1
名义本金1250万,4
保底雪球,0
80/100,3
24M,2
票息13％,6
挂钩标的：中证500,1
敲入：75%,3
敲出：103%~92.5%渐进式敲出（按月递减0.5%）,3
期限：24M,2
锁定期：3M,2
保证金：500万元,5
票息: 7.9%,6
名义本金：2000万RMB,4
名义本金RMB1000万,4
保证金21%,5
挂钩标的：中证500,1
敲出价105%,3
敲入价79%,3
期限24M,2
锁定期3个月（敲出观察第3M开始）,2
后续不追保,2
票息12.1%,6
zz500,1
不追保雪球,0
锁3m,2
12.20%,6
名本,4
RMB300万,4
中证500,1
名义本金7150万,5
保底雪球,0
80/100,3
24M,2
20%保证金,5
票息14%,6
中证500 ,1
12M,2
90/100,3
保底雪球,0
保证金率10%,5
票息14.8%,6
名义本金500万,4
保证金50万,5
沪深300,1
锁4m,2
期限8个月,2
87-100,3
名本1000万,4
保证金300万,5
12%,6
沪深300,1
沪深300,1
沪深300,1
沪深300,1
月,2
10.50%,6
10.40%,6
月,2
月,2
月,2
看涨,3
看涨,3
沪深300,1
沪深300,1
月,2
月,2
看涨,3
看涨,3
锁3m,2
锁3m,2
保本,3
保本,3
沪深300,1
沪深300,1
10.50%,6
10.40%,6
月,2
月,2
月,2
月,2
月,2
